num views,num rows,num channels,batch size,peak memory (GB),avail memory (GB),elapsed time0 (sec),elapsed time1 (sec)
50,800,100,250,1.069,10.026,2.3,2.3
50,800,100,500,1.069,10.026,2.2,2.2
50,800,100,800,1.069,10.026,2.4,2.4
50,800,250,100,1.341,10.026,9.3,9.3
50,800,250,250,1.341,10.026,3.5,3.5
50,800,250,500,1.341,10.026,3.5,3.5
50,800,250,800,1.341,10.026,3.3,3.3
50,800,500,100,3.065,10.026,13.5,13.5
50,800,500,250,3.065,10.026,8.2,8.2
50,800,500,500,3.065,10.026,8.2,8.2
50,800,500,800,3.065,10.026,8.1,8.1
50,800,800,100,2.466,10.026,38.7,38.7
50,800,800,250,2.466,10.026,35.9,35.9
50,800,800,500,2.466,10.026,32.1,32.1
50,800,800,800,2.466,10.026,35.6,35.6
50,800,1250,100,5.248,10.026,75.3,75.3
50,800,1250,250,5.248,10.026,77.9,77.9
50,800,1250,500,5.248,10.026,80.8,80.8
50,800,1250,800,5.248,10.026,73.0,73.0
50,1250,50,100,1.012,10.026,8.3,8.3
50,1250,50,250,1.012,10.026,2.6,2.6
50,1250,50,500,1.012,10.026,2.5,2.5
50,1250,50,800,1.012,10.026,2.4,2.4
50,1250,100,100,1.539,10.026,10.2,10.2
50,1250,100,250,1.539,10.026,1.6,1.6
50,1250,100,500,1.539,10.026,1.6,1.6
50,1250,100,800,1.539,10.026,1.5,1.5
50,1250,250,100,1.970,10.026,10.0,10.0
50,1250,250,250,1.970,10.026,3.5,3.5
50,1250,250,500,1.970,10.026,3.5,3.5
50,1250,250,800,1.970,10.026,3.4,3.4
50,1250,500,100,4.787,10.026,17.3,17.3
50,1250,500,250,4.787,10.026,11.1,11.1
50,1250,500,500,4.787,10.026,11.0,11.0
50,1250,500,800,4.787,10.026,10.9,10.9
50,1250,800,100,3.803,10.026,47.8,47.8
50,1250,800,250,3.803,10.026,41.1,41.1
50,1250,800,500,3.803,10.026,41.0,41.0
50,1250,800,800,3.803,10.026,40.2,40.2
50,1250,1250,100,8.192,10.026,109.2,109.2
50,1250,1250,250,8.192,10.026,102.2,102.2
50,1250,1250,500,8.192,10.026,93.6,93.6
50,1250,1250,800,8.192,10.026,97.0,97.0
100,50,50,100,0.196,10.026,7.7,7.7
100,50,50,250,0.196,10.026,3.3,3.3
100,50,50,500,0.196,10.026,2.1,2.1
100,50,50,800,0.196,10.026,2.1,2.1
100,50,100,100,0.234,10.026,9.9,9.9
100,50,100,250,0.234,10.026,2.3,2.3
100,50,100,500,0.234,10.026,2.0,2.0
100,50,100,800,0.234,10.026,1.9,1.9
100,50,250,100,0.286,10.026,8.9,8.9
100,50,250,250,0.286,10.026,4.2,4.2
100,50,250,500,0.286,10.026,3.9,3.9
100,50,250,800,0.286,10.026,3.8,3.8
100,50,500,100,0.284,10.026,9.6,9.6
100,50,500,250,0.284,10.026,4.6,4.6
100,50,500,500,0.284,10.026,4.6,4.6
100,50,500,800,0.284,10.026,4.3,4.3
100,50,800,100,0.337,10.026,12.1,12.1
100,50,800,250,0.337,10.026,4.5,4.5
100,50,800,500,0.337,10.026,4.5,4.5
